strategy,difficulty,start_light,win_rate_v040,win_rate_v041,avg_rounds_v040,avg_rounds_v041,win_rate_delta
aggressive,normal,8,0.4236666666666667,0.4886666666666667,4.593666666666667,4.597666666666667,0.065
aggressive,hard,7,0.3046666666666666,0.3726666666666666,4.330583333333333,4.349916666666667,0.068
aggressive,very_hard,6,0.18,0.226,4.02575,4.05525,0.04600000000000001
balanced,normal,8,0.3753333333333333,0.5686666666666667,5.359166666666667,5.170083333333333,0.19333333333333336
balanced,hard,7,0.2543333333333333,0.4316666666666666,5.100666666666666,4.9656666666666665,0.1773333333333333
balanced,very_hard,6,0.146,0.291,4.682333333333333,4.629583333333334,0.145
cautious,normal,8,0.33,0.5133333333333333,5.859916666666667,5.661583333333334,0.1833333333333333
cautious,hard,7,0.2036666666666666,0.3663333333333333,5.547833333333333,5.421916666666666,0.16266666666666668
cautious,very_hard,6,0.12,0.2463333333333333,5.11175,5.058916666666667,0.1263333333333333
