strategy,difficulty,start_light,games,win_rate,avg_rounds,avg_turns,avg_light_end,avg_crystals,avg_boss_phase_turns,avg_zero_energy_events,explore_share,fight_share,build_share,train_share,shadow_light_loss_per_game,adventure_light_loss_per_game,boss_light_loss_per_game,fire_crystal_fight_share,water_crystal_fight_share,wind_crystal_fight_share,earth_crystal_fight_share,fire_ability_uses_per_game,water_ability_uses_per_game,wind_ability_uses_per_game,earth_ability_uses_per_game,fire_place_uses_per_game,water_place_uses_per_game,wind_place_uses_per_game,earth_place_uses_per_game
aggressive,normal,8,3000,0.4886666666666667,4.597666666666667,18.390666666666668,1.1763333333333332,4,10.306333333333333,0.27366666666666667,0.1330623488309594,0.5995028218220908,0.0029729911314162858,0.006349099704380543,4.463,0.18233333333333332,2.188,0.29122392758756394,0.30578512396694213,0.2803030303030303,0.1226879181424636,3.1576666666666666,0.5126666666666667,2.6976666666666667,0.005333333333333333,0.043,0.9673333333333334,0.501,0.516
aggressive,hard,7,3000,0.37266666666666665,4.349916666666667,17.39966666666667,0.7436666666666667,3.9993333333333334,9.539,0.21633333333333332,0.1385963045714083,0.5902400964641629,0.0028726460261729973,0.005160123417384828,4.254333333333333,0.16266666666666665,1.863,0.2907979149959904,0.30823977546110665,0.28222734562951085,0.11873496391339214,2.965,0.523,2.652,0.005,0.043333333333333335,0.9726666666666667,0.4876666666666667,0.4573333333333333
aggressive,very_hard,6,3000,0.226,4.05525,16.221,0.36666666666666664,3.993333333333333,8.321666666666667,0.154,0.14666895538898744,0.584425244607198,0.0026701760408918388,0.0066945127882359675,4.0296666666666665,0.17433333333333334,1.4806666666666666,0.2919642411227089,0.30599810218249013,0.2811766468561155,0.12086100983868552,2.738,0.5196666666666667,2.5843333333333334,0.0036666666666666666,0.044,0.969,0.48966666666666664,0.47633333333333333
balanced,normal,8,3000,0.5686666666666667,5.170083333333333,20.680333333333333,1.5143333333333333,3.995,8.938333333333333,0.056,0.11522150120075622,0.4228067037964335,0.13663072914005417,0.022648306167288336,5.020333333333333,0.16333333333333333,1.7996666666666667,0.323107156504176,0.2829848790872864,0.27250395763960916,0.12140400676892843,2.901,1.0286666666666666,3.4063333333333334,1.028,0.15366666666666667,0.9413333333333334,0.336,0.13
balanced,hard,7,3000,0.43166666666666664,4.9656666666666665,19.862666666666666,0.9203333333333333,3.990666666666667,8.034,0.044,0.11544522194327227,0.41464131189573206,0.14189947118209498,0.025572886063778645,4.867,0.15,1.538,0.32053586015356966,0.28432173392147253,0.27185100473778795,0.12329140118716986,2.727,0.9543333333333334,3.396,1.0183333333333333,0.13666666666666666,0.9303333333333333,0.35533333333333333,0.09833333333333333
balanced,very_hard,6,3000,0.291,4.629583333333334,18.518333333333334,0.5076666666666667,3.953666666666667,6.832666666666666,0.024666666666666667,0.11352889604323267,0.4059243715595671,0.14878479957457205,0.027121031375310807,4.5793333333333335,0.14166666666666666,1.1886666666666668,0.3224487540748108,0.28647991601745953,0.2721144814630643,0.11895684844466545,2.513,0.9026666666666666,3.2723333333333335,0.9906666666666667,0.14766666666666667,0.939,0.346,0.102
cautious,normal,8,3000,0.5133333333333333,5.661583333333334,22.646333333333335,1.2643333333333333,3.9976666666666665,9.361666666666666,0.039,0.2093332273341586,0.3441187493611657,0.14775527819104836,0.027279644751337293,5.547666666666666,0.3576666666666667,1.772,0.3743879005764582,0.19035517262753363,0.31984131903551727,0.11541560776049092,2.8863333333333334,2.045,3.626,1.1763333333333332,0.44133333333333336,0.3406666666666667,0.3423333333333333,0.187
cautious,hard,7,3000,0.36633333333333334,5.421916666666666,21.687666666666665,0.7286666666666667,3.9896666666666665,8.265666666666666,0.023,0.21201518206618433,0.33385126319535047,0.1534693393429012,0.028501957063219074,5.349666666666667,0.3443333333333333,1.4666666666666666,0.37177831088146646,0.18982592114166205,0.3212769883742388,0.11711877960263271,2.7063333333333333,1.977,3.603666666666667,1.1803333333333332,0.458,0.346,0.3433333333333333,0.20266666666666666
cautious,very_hard,6,3000,0.24633333333333332,5.058916666666667,20.235666666666667,0.418,3.956,6.9303333333333335,0.014333333333333333,0.21820133404891512,0.32132178179866594,0.16087812108666208,0.031063916788060007,5.028666666666667,0.31233333333333335,1.0766666666666667,0.376447755587554,0.1870656733237338,0.3202904902022162,0.11619608088649597,2.5233333333333334,1.8966666666666667,3.4563333333333333,1.148,0.4513333333333333,0.324,0.36666666666666664,0.189
