strategy,v0_39_win_rate,v0_40_win_rate,delta,avg_rounds,explore_share,build_share,train_share
aggressive,0.423,0.4236666666666667,0.0006666666666667043,4.593666666666667,0.14333139830201003,0.002775560554386474,0.006857267252013642
balanced,0.3017,0.37533333333333335,0.07363333333333333,5.359166666666667,0.15821800653086612,0.15770486705022546,0.026947597574249728
cautious,0.2047,0.33,0.12530000000000002,5.859916666666667,0.2803936347217679,0.162701403603578,0.03216769294216357
